Rk,Player,Yds,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.,
1,D.J. Moore,230,Thu,5,5,10/5/2023,26-174,CHI,@,WAS,W 40-20,10,8,230,28.8,3,80,23,6,70,WR,
2,Keenan Allen,215,Sun,3,3,9/24/2023,31-150,LAC,@,MIN,W 28-24,20,18,215,11.9,0,90,10.8,10,65,WR,
3,Tyreek Hill,215,Sun,1,1,9/10/2023,29-193,MIA,@,LAC,W 36-34,15,11,215,19.5,2,73.3,14.3,9,66.7,WR,
4,Ja'Marr Chase,192,Sun,5,5,10/8/2023,23-221,CIN,@,ARI,W 34-20,19,15,192,12.8,3,78.9,10.1,14,78.9,WR,
5,Tyreek Hill,181,Sun,5,5,10/8/2023,29-221,MIA,,NYG,W 31-16,9,8,181,22.6,1,88.9,20.1,5,88.9,WR,
6,A.J. Brown,175,Sun,4,4,10/1/2023,26-093,PHI,,WAS,W 34-31 (OT),13,9,175,19.4,2,69.2,13.5,7,61.5,WR,
7,Davante Adams,172,Sun,3,3,9/24/2023,30-274,LVR,,PIT,L 18-23,20,13,172,13.2,2,65,8.6,9,65,WR,
8,Mike Evans,171,Sun,2,2,9/17/2023,30-027,TAM,,CHI,W 27-17,8,6,171,28.5,1,75,21.4,4,62.5,WR,
9,Nico Collins,168,Sun,4,4,10/1/2023,24-196,HOU,,PIT,W 30-6,9,7,168,24,2,77.8,18.7,7,77.8,WR,
10,Puka Nacua,163,Sun,4,4,10/1/2023,22-125,LAR,@,IND,W 29-23 (OT),10,9,163,18.1,1,90,16.3,8,90,WR,
11,Justin Jefferson,159,Thu,2,2,9/14/2023,24-090,MIN,@,PHI,L 28-34,13,11,159,14.5,0,84.6,12.2,9,76.9,WR,
12,Tyreek Hill,157,Sun,3,3,9/24/2023,29-207,MIA,,DEN,W 70-20,11,9,157,17.4,1,81.8,14.3,7,72.7,WR,
13,Justin Jefferson,150,Sun,1,1,9/10/2023,24-086,MIN,,TAM,L 17-20,12,9,150,16.7,0,75,12.5,5,66.7,WR,
14,Justin Jefferson,149,Sun,3,3,9/24/2023,24-100,MIN,,LAC,L 24-28,13,7,149,21.3,1,53.8,11.5,6,53.8,WR,
15,Brandon Aiyuk,148,Sun,4,4,10/1/2023,25-198,SFO,,ARI,W 35-16,6,6,148,24.7,0,100,24.7,6,100,WR,
16,Puka Nacua,147,Sun,2,2,9/17/2023,22-111,LAR,,SFO,L 23-30,20,15,147,9.8,0,75,7.4,7,60,WR,
17,Nico Collins,146,Sun,2,2,9/17/2023,24-182,HOU,,IND,L 20-31,9,7,146,20.9,1,77.8,16.2,6,77.8,WR,
18,Tank Dell,145,Sun,3,3,9/24/2023,23-330,HOU,@,JAX,W 37-17,7,5,145,29,1,71.4,20.7,5,71.4,WR,
19,Adam Thielen,145,Sun,3,3,9/24/2023,33-033,CAR,@,SEA,L 27-37,14,11,145,13.2,1,78.6,10.4,9,64.3,WR,
20,CeeDee Lamb,143,Sun,2,2,9/17/2023,24-162,DAL,,NYJ,W 30-10,13,11,143,13,0,84.6,11,7,69.2,WR,
21,Ja'Marr Chase,141,Mon,3,3,9/25/2023,23-208,CIN,,LAR,W 19-16,15,12,141,11.8,0,80,9.4,7,66.7,WR,
22,DeAndre Hopkins,140,Sun,5,5,10/8/2023,31-124,TEN,@,IND,L 16-23,11,8,140,17.5,0,72.7,12.7,7,72.7,WR,
23,A.J. Brown,131,Mon,3,3,9/25/2023,26-087,PHI,@,TAM,W 25-11,14,9,131,14.6,0,64.3,9.4,7,50,WR,
24,D.J. Moore,131,Sun,4,4,10/1/2023,26-170,CHI,,DEN,L 28-31,9,8,131,16.4,1,88.9,14.6,7,77.8,WR,
25,DeVonta Smith,131,Thu,2,2,9/14/2023,24-304,PHI,,MIN,W 34-28,5,4,131,32.8,1,80,26.2,2,60,WR,
26,George Pickens,130,Sun,5,5,10/8/2023,22-218,PIT,,BAL,W 17-10,10,6,130,21.7,1,60,13,6,60,WR,
27,Brandon Aiyuk,129,Sun,1,1,9/10/2023,25-177,SFO,@,PIT,W 30-7,8,8,129,16.1,2,100,16.1,8,100,WR,
28,Deebo Samuel,129,Thu,3,3,9/21/2023,27-249,SFO,,NYG,W 30-12,12,6,129,21.5,1,50,10.8,5,41.7,WR,
29,A.J. Brown,127,Sun,5,5,10/8/2023,26-100,PHI,@,LAR,W 23-14,8,6,127,21.2,0,75,15.9,6,75,WR,
30,George Pickens,127,Mon,2,2,9/18/2023,22-198,PIT,,CLE,W 26-22,10,4,127,31.8,1,40,12.7,3,40,WR,
31,Calvin Ridley,122,Sun,5,5,10/8/2023,28-292,JAX,@,BUF,W 25-20,8,7,122,17.4,0,87.5,15.3,7,87.5,WR,
32,Stefon Diggs,121,Sun,5,5,10/8/2023,29-313,BUF,,JAX,L 20-25,11,8,121,15.1,1,72.7,11,5,72.7,WR,
33,Mike Williams,121,Sun,3,3,9/24/2023,28-355,LAC,@,MIN,W 28-24,8,7,121,17.3,1,87.5,15.1,3,75,WR,
34,Stefon Diggs,120,Sun,4,4,10/1/2023,29-306,BUF,,MIA,W 48-20,7,6,120,20,3,85.7,17.1,5,85.7,WR,
35,Tutu Atwell,119,Sun,1,1,9/10/2023,23-338,LAR,@,SEA,W 30-13,8,6,119,19.8,0,75,14.9,6,75,WR,
36,Puka Nacua,119,Sun,1,1,9/10/2023,22-104,LAR,@,SEA,W 30-13,15,10,119,11.9,0,66.7,7.9,6,53.3,WR,
37,Cooper Kupp,118,Sun,5,5,10/8/2023,30-115,LAR,,PHI,L 14-23,12,8,118,14.8,0,66.7,9.8,6,58.3,WR,
38,Dallas Goedert,117,Sun,5,5,10/8/2023,28-278,PHI,@,LAR,W 23-14,9,8,117,14.6,1,88.9,13,5,66.7,TE,
39,Amari Cooper,116,Sun,3,3,9/24/2023,29-099,CLE,,TEN,W 27-3,8,7,116,16.6,1,87.5,14.5,4,87.5,WR,
40,Chris Godwin,114,Sun,4,4,10/1/2023,27-216,TAM,@,NOR,W 26-9,11,8,114,14.3,0,72.7,10.4,5,63.6,WR,
41,Marvin Mims,113,Sun,2,2,9/17/2023,21-182,DEN,,WAS,L 33-35,2,2,113,56.5,1,100,56.5,2,100,WR,
42,D.K. Metcalf,112,Sun,3,3,9/24/2023,25-284,SEA,,CAR,W 37-27,8,6,112,18.7,0,75,14,5,75,WR,
43,Chris Olave,112,Sun,1,1,9/10/2023,23-075,NOR,,TEN,W 16-15,10,8,112,14,0,80,11.2,6,80,WR,
44,Keenan Allen,111,Sun,2,2,9/17/2023,31-143,LAC,@,TEN,L 24-27 (OT),10,8,111,13.9,2,80,11.1,5,80,WR,
45,Stefon Diggs,111,Sun,3,3,9/24/2023,29-299,BUF,@,WAS,W 37-3,12,8,111,13.9,0,66.7,9.3,5,41.7,WR,
46,Christian Kirk,110,Sun,2,2,9/17/2023,26-303,JAX,,KAN,L 9-17,14,11,110,10,0,78.6,7.9,6,57.1,WR,
47,Adam Thielen,107,Sun,5,5,10/8/2023,33-047,CAR,@,DET,L 24-42,13,11,107,9.7,1,84.6,8.2,7,69.2,WR,
